product_category_name,product_category_name_english
beleza_saude,health_beauty
esporte_lazer,sports_leisure
moveis_decoracao,furniture_decor
informatica_acessorios,computers_accessories
utilidades_domesticas,housewares
relogios_presentes,watches_gifts
cama_mesa_banho,bed_bath_table
ferramentas_jardim,garden_tools
automotivo,auto
brinquedos,toys
livros_tecnicos,technical_books
eletroportateis,small_appliances
perfumaria,perfumery
fashion_roupa_masculina,fashion_male_clothing
fashion_roupa_feminina,fashion_female_clothing
papelaria,stationery
alimentos,food
construcao_ferramentas,construction_tools
telefonia,telephony
malas_acessorios,luggage_accessories
